// This file contains the mapping from IAB (OpenRTB standard category ID (where
// ID is the enum value from contentads/bidder/proto/openrtb.proto) and
// name, to AdX category ID and name. Pipe is used as
// separator. Leading and trailing whitespaces in second and fourth
// column are stripped. There should be no quotes around strings.
//
// This is a one way mapping from IAB categories to broader AdX categories
// that work for category blocking.
// category "Sleep Disorders" means all creatives with the (AdX) category
// "Health Conditions & Concerns" will get blocked.
//
// Second column is not used but is useful for creators, users and maintainers.
// Fourth column is used to verify that creators entered correct AdX ID and
// name. Smoke tests shall catch if AdX ID is non-existent and if mapping from
// AdX ID to name is non-existent.
//
// Example: IAB2 (Automotive) has enum value 9, so it is listed here under 9.
//
// IAB Category enum ID|IAB Category Name|Adx Category ID|Adx Category Name
1|Arts & Entertainment|10013|/Arts & Entertainment
1|Arts & Entertainment|10105|Entertainment Industry
2|Books & Literature|10112|Books & Literature
3|Celebrity Fan/Gossip|10584|/News, Media & Publications/Celebrities & Entertainment News
4|Fine Art|13388|/Arts & Entertainment/Visual Art & Design
5|Humor|10106|/Arts & Entertainment/Humor & Jokes
6|Movies|13417|/Arts & Entertainment/Movies & Films
7|Music|13379|Ringtones & Ringtone Makers
8|Television|12143|Televisions
8|Television|13536|Film & TV Industry
8|Television|10557|TV Shows & Programs
8|Television|10566|TV Broadcasting
8|Television|10103|TV & Video
9|Automotive|10185|Cars & Trucks
9|Automotive|13714|Used Cars & Trucks
10|Auto Parts|10026|Vehicle Parts & Accessories
10|Auto Parts|10209|Car Parts & Accessories
11|Auto Repair|10026|Vehicle Parts & Accessories
11|Auto Repair|10209|Car Parts & Accessories
12|Buying/Selling Cars|13656|Car Dealers
12|Buying/Selling Cars|13655|Vehicle Dealers
13|Car Culture|10881|Car Audio & Video
14|Certified Pre-Owned|13714|Used Cars & Trucks
15|Convertible|10001|Vehicles
16|Coupe|10001|Vehicles
17|Crossover|10001|Vehicles
18|Diesel|10001|Vehicles
19|Electric Vehicle|10024|Motor Vehicles
20|Hatchback|10001|Vehicles
21|Hybrid|10001|Vehicles
22|Luxury|10001|Vehicles
23|MiniVan|10001|Vehicles
24|Mororcycles|10001|Vehicles
25|Off-Road Vehicles|10001|Vehicles
26|Performance Vehicles|10001|Vehicles
27|Pickup|10001|Vehicles
28|Road-Side Assistance|10001|Vehicles
29|Sedan|10001|Vehicles
30|Trucks & Accessories|10001|Vehicles
